model_id,k_fold,frac_val,val_best_acc,val_best_auc,val_best_sp,val_best_sn,val_avg_acc,val_avg_auc,val_avg_sp,val_avg_sn,train_best_acc,train_best_auc,train_best_sp,train_best_sn,train_avg_acc,train_avg_auc,train_avg_sp,train_avg_sn,host_name,optim,lr,epochs,double_img,output_tab,backbone,early_start,timestamp,total_hours,average_cross_hours,torchvision_version,torch_version,history_added,shap_val,shap_oos,pred_val,pred_oos,batch_size,Usando OCT,Dual Image,group_backbone,regnet_vs_other,rank_max_auc,rank_avg_auc,rank_max_auc_oct_double,rank_avg_auc_oct_double,rank_avg
69d5cf8fd5bd4af2a52b09c9cdeff09b,,0.2,0.8726114649681529,0.8009204857030943,1.0,0.8695652173913043,0.7843312101910829,0.7113924794359577,0.8875675675675674,0.5352173913043479,0.8668885191347754,0.796165733050029,0.9907834101382488,0.6407185628742516,0.8162562396006655,0.7202087530009106,0.9364055299539172,0.5040119760479042,magneto,ranger,0.01,100.0,0.0,0.0,shuffle,100.0,,,,0.13.0+cu113,1.12.0+cu113,0.0,0,0,0,0,16,Não,Não,other,other,438,465,51,63,254.25
477d2d8a9f4540a689b1c90a768d19d1,,0.2,0.8726114649681529,0.8102232667450058,1.0,0.782608695652174,0.8221019108280255,0.7482882882882882,0.9265765765765764,0.57,0.9966722129783694,0.9958539142912332,0.9976958525345622,0.994011976047904,0.9466056572379368,0.9235203785976436,0.975483870967742,0.871556886227545,magneto,sgd,0.0005,100.0,1.0,0.0,vit,100.0,,,,0.13.0+cu113,1.12.0+cu113,0.0,0,0,0,0,16,Não,Sim,other,other,349,232,50,7,159.5
e7dff5828512435f8b1e84d9ed873d16,,0.2,0.8726114649681529,0.8144339992166079,1.0,0.717391304347826,0.7812738853503183,0.7068115942028986,0.8866666666666668,0.5269565217391304,0.9600665557404326,0.9465630950081404,0.9838709677419356,0.9161676646706588,0.891414309484193,0.8415048014569939,0.9538479262672812,0.7291616766467065,magneto,sgd,0.001,100.0,0.0,0.0,regnet16,100.0,,,,0.13.0+cu113,1.12.0+cu113,0.0,0,0,0,0,16,Não,Não,regnety,regnet,315,506,20,84,231.25
139c15f097744d17a7ab907e2a5cff3e,,0.2,0.8726114649681529,0.8282412847630238,1.0,0.8043478260869565,0.7912738853503185,0.7261682334508421,0.8834234234234236,0.5689130434782609,0.9467554076539102,0.9262948756864152,0.9746543778801844,0.8802395209580839,0.8790682196339433,0.8293093766384281,0.9413133640552996,0.7173053892215567,magneto,adam,0.0005,100.0,0.0,0.0,regnet32,100.0,,,,0.13.0+cu113,1.12.0+cu113,0.0,0,0,0,0,16,Não,Não,regnety,regnet,255,353,4,8,155.0
785ed10d4c6e4f71bb6b36db16f64b2d,,0.2,0.8789808917197452,0.8518409714061888,1.0,0.8478260869565217,0.8143949044585989,0.7619330199764984,0.8886486486486486,0.6352173913043478,0.9916805324459236,0.9887138166064184,1.0,0.9820359281437124,0.943144758735441,0.9161324125941666,0.9769354838709678,0.8553293413173652,magneto,radam,0.0001,100.0,1.0,0.0,mobile,100.0,2022-11-06 18:49:39.800222,04:51:53.69,04:51:53.69,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Não,Sim,other,other,234,208,1,2,111.25
51dbbed043d147c098e90e26ea2abf45,,0.2,0.8726114649681529,0.8080689385037211,1.0,0.7391304347826086,0.7977707006369426,0.7281531531531533,0.8963063063063066,0.56,0.9916805324459236,0.9905557548497476,1.0,0.9880239520958084,0.95,0.9280809349043848,0.9774193548387098,0.8787425149700598,magneto,adam,0.0001,100.0,1.0,0.0,shuffle,100.0,2022-11-12 05:47:05.446033,04:09:30.40,04:09:30.40,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Não,Sim,other,other,369,344,60,70,210.75
7dc2242ba3e840eba3c7910623bdc029,,0.2,0.8726114649681529,0.8263807285546416,1.0,0.8260869565217391,0.7978980891719746,0.7459381120250685,0.8714414414414415,0.6204347826086956,0.9883527454242927,0.9882516073843098,0.9953917050691244,0.9880239520958084,0.932046589018303,0.9028485885372116,0.9685714285714286,0.8371257485029939,magneto,sgd,0.01,100.0,1.0,0.0,regnet16x,100.0,2022-11-25 08:10:57.139330,05:18:43.14,05:18:43.14,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Não,Sim,regnetx,regnet,260,237,8,9,128.5
5d85a9cfc54949a296e64bbfe01e6c53,,0.2,0.8726114649681529,0.8110066588327457,1.0,0.8913043478260869,0.7887898089171975,0.733322561692127,0.8672972972972972,0.5993478260869565,0.9584026622296172,0.9435690830320924,0.9861751152073732,0.9101796407185628,0.887054908485857,0.837970625569138,0.9484562211981568,0.7274850299401199,magneto,adam,0.0005,100.0,1.0,0.0,regnet32x,100.0,2022-11-25 22:44:22.743429,03:27:52.65,03:27:52.65,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Não,Sim,regnetx,regnet,347,306,48,48,187.25
11a6c666fb654482b8a3d2b2b7070a9d,,0.2,0.8853503184713376,0.8489032510771641,0.990990990990991,0.8478260869565217,0.789936305732484,0.7236946729338033,0.8836936936936937,0.5636956521739132,0.9251247920133112,0.8972722757250476,0.9838709677419356,0.8383233532934131,0.8843427620632279,0.8353007119401749,0.9456912442396314,0.7249101796407187,magneto,radam,0.001,100.0,0.0,0.0,regnet32x,100.0,2022-11-28 22:55:09.740563,14:03:27.73,14:03:27.73,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Não,Não,regnetx,regnet,236,377,1,14,157.0
890ad21934914b07bb1bb1452fc129d0,,0.2,0.9554140127388536,0.9302781041911476,1.0,0.9347826086956522,0.906687898089172,0.8543184488836664,0.9808108108108108,0.7278260869565216,0.9750415973377704,0.9642995115759264,1.0,0.940119760479042,0.9342096505823628,0.8969232732691301,0.980852534562212,0.8129940119760478,magneto,ranger,0.01,100.0,0.0,5.0,inception,100.0,,,,0.13.0+cu113,1.12.0+cu113,0.0,0,0,0,0,16,Sim,Não,other,other,31,24,23,19,24.25
3c9f29f7aafc458b963df7e1ac489267,,0.2,0.9554140127388536,0.9366431649040344,1.0,0.8913043478260869,0.9003184713375796,0.8494956913435174,0.9722522522522524,0.7267391304347827,0.966722129783694,0.949329451695687,1.0,0.9101796407185628,0.9275873544093176,0.8856517839896244,0.9800460829493088,0.79125748502994,magneto,ranger,0.01,100.0,0.0,5.0,inception,100.0,,,,0.13.0+cu113,1.12.0+cu113,0.0,0,0,0,0,16,Sim,Não,other,other,11,34,8,26,19.75
e4be89e62af347ebb6889e03f3bb6a4f,,0.2,0.9554140127388536,0.9366431649040344,1.0,0.9565217391304348,0.8709554140127389,0.813581081081081,0.9521621621621622,0.6749999999999998,0.961730449251248,0.9484050332514694,1.0,0.9221556886227544,0.9254742096505824,0.8903407240817904,0.9694239631336404,0.81125748502994,magneto,radam,0.01,100.0,1.0,5.0,inception,100.0,,,,0.13.0+cu113,1.12.0+cu113,0.0,0,0,0,0,16,Sim,Sim,other,other,12,130,4,52,49.5
3f932373851b4e5da34b440d9dcc89a0,,0.2,0.9554140127388536,0.9302781041911476,1.0,0.9347826086956522,0.8673885350318471,0.8162779083431256,0.93972972972973,0.6928260869565216,0.9816971713810316,0.9744336212367892,1.0,0.9580838323353292,0.9291680532445924,0.8947586853941886,0.9722119815668204,0.817305389221557,magneto,adam,0.0005,100.0,0.0,5.0,regnet32,100.0,2022-11-08 22:13:17.416383,04:13:22.53,04:13:22.53,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnety,regnet,32,126,24,76,64.5
6fc7a51db20949679972282d7e0a2d77,,0.2,0.9554140127388536,0.949373286329808,1.0,0.9347826086956522,0.919363057324841,0.8764580885233059,0.98009009009009,0.7728260869565216,0.9800332778702164,0.9661414498192554,1.0,0.9461077844311376,0.9423128119800332,0.9152064074615748,0.9762211981566822,0.854191616766467,magneto,ranger,0.01,100.0,0.0,5.0,shuffle,100.0,2022-11-18 17:00:41.471754,04:09:24.18,04:09:24.18,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,other,other,1,1,1,1,1.0
40f4ad63a06a44e3ac6e5dac4e950e3a,,0.2,0.9554140127388536,0.93213866039953,1.0,0.9565217391304348,0.9037579617834394,0.8512916177046612,0.978018018018018,0.7245652173913042,0.9700499168053244,0.9573870691796132,1.0,0.940119760479042,0.937504159733777,0.906719487292696,0.9760138248847928,0.8374251497005987,magneto,radam,0.01,100.0,0.0,5.0,shuffle,100.0,2022-11-18 17:00:59.970625,04:09:42.67,04:09:42.67,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,other,other,23,30,17,23,23.25
