model_id,k_fold,frac_val,val_best_acc,val_best_auc,val_best_sp,val_best_sn,val_avg_acc,val_avg_auc,val_avg_sp,val_avg_sn,train_best_acc,train_best_auc,train_best_sp,train_best_sn,train_avg_acc,train_avg_auc,train_avg_sp,train_avg_sn,host_name,optim,lr,epochs,double_img,output_tab,backbone,early_start,timestamp,total_hours,average_cross_hours,torchvision_version,torch_version,history_added,shap_val,shap_oos,pred_val,pred_oos,batch_size,Usando OCT,Dual Image,group_backbone,regnet_vs_other,rank_max_auc,rank_avg_auc,rank_max_auc_oct_double,rank_avg_auc_oct_double,rank_avg
e108c95a38904af095098bbd5d999d4f,,0.2,0.8598726114649682,0.7919114766940853,0.990990990990991,0.8478260869565217,0.7707006369426753,0.7089453584018801,0.8581081081081081,0.5597826086956522,0.9101497504159732,0.8751621181599933,0.9585253456221198,0.7964071856287425,0.8594176372712147,0.7992917161069565,0.93463133640553,0.6639520958083832,magneto,radam,0.001,100.0,0.0,0.0,regnet16x,100.0,2022-11-20 16:46:38.043204,02:04:19.17,02:04:19.17,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Não,Não,regnetx,regnety,503,486,79,79,286.75
344a717aeec64b46a3a5f7ac5a2fe59c,,0.2,0.8598726114649682,0.8282412847630238,0.954954954954955,0.9130434782608696,0.7850955414012739,0.7207168037602822,0.8762162162162163,0.5652173913043478,0.9767054908485856,0.9672935235519744,0.988479262672811,0.9461077844311376,0.9060399334442596,0.8750241452578714,0.9448387096774192,0.8052095808383234,magneto,radam,0.0001,100.0,0.0,0.0,regnet16x,100.0,2022-11-20 18:51:39.825998,02:04:57.14,02:04:57.14,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Não,Não,regnetx,regnety,251,393,4,22,167.5
1ff692349b5849acb0385390ad6fc09d,,0.2,0.8598726114649682,0.8117900509204856,1.0,0.8043478260869565,0.7540764331210191,0.6654269486878183,0.8795495495495497,0.4513043478260869,0.9151414309484194,0.8744722536493832,0.97926267281106,0.7964071856287425,0.8399168053244591,0.7595417919920527,0.9404608294930876,0.578622754491018,magneto,sgd,0.01,100.0,0.0,0.0,inception,100.0,2022-11-25 13:42:10.070783,05:18:50.70,05:18:50.70,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Não,Não,other,other,330,633,22,159,286.0
5caecd87eeba4102b08f51913795c325,,0.2,0.8662420382165605,0.8099294947121034,1.0,0.782608695652174,0.7877707006369427,0.7203172737955348,0.8832432432432432,0.557391304347826,0.9434276206322796,0.9173128397582716,0.988479262672811,0.874251497005988,0.893910149750416,0.8489613399928254,0.9501382488479264,0.7477844311377246,magneto,ranger,0.0005,100.0,0.0,0.0,inception,100.0,2022-11-25 13:54:39.939485,05:20:55.56,05:20:55.56,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Não,Não,other,other,345,397,26,23,197.75
8ca003378f704af1a4d892c639690663,,0.2,0.8598726114649682,0.8117900509204856,1.0,0.7608695652173914,0.7842675159235668,0.7173942420681549,0.878918918918919,0.5558695652173913,0.9168053244592348,0.8843718093766385,0.9838709677419356,0.8263473053892215,0.8711314475873543,0.8139227765666821,0.942695852534562,0.6851497005988024,magneto,ranger,0.001,100.0,0.0,0.0,inception,100.0,2022-11-25 14:00:22.258456,05:23:01.43,05:23:01.43,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Não,Não,other,other,331,420,23,35,202.25
11a6c666fb654482b8a3d2b2b7070a9d,,0.2,0.8853503184713376,0.8489032510771641,0.990990990990991,0.8478260869565217,0.789936305732484,0.7236946729338033,0.8836936936936937,0.5636956521739132,0.9251247920133112,0.8972722757250476,0.9838709677419356,0.8383233532934131,0.8843427620632279,0.8353007119401749,0.9456912442396314,0.7249101796407187,magneto,radam,0.001,100.0,0.0,0.0,regnet32x,100.0,2022-11-28 22:55:09.740563,14:03:27.73,14:03:27.73,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Não,Não,regnetx,regnety,231,372,1,14,154.5
3f932373851b4e5da34b440d9dcc89a0,,0.2,0.9554140127388536,0.9302781041911476,1.0,0.9347826086956522,0.8673885350318471,0.8162779083431256,0.93972972972973,0.6928260869565216,0.9816971713810316,0.9744336212367892,1.0,0.9580838323353292,0.9291680532445924,0.8947586853941886,0.9722119815668204,0.817305389221557,magneto,adam,0.0005,100.0,0.0,5.0,regnet32y,100.0,2022-11-08 22:13:17.416383,04:13:22.53,04:13:22.53,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnety,regnety,29,122,22,73,61.5
9e209c2445544e3e864a2a21334806a8,,0.2,0.9490445859872612,0.93213866039953,1.0,0.8913043478260869,0.8739490445859873,0.8154435957696827,0.9567567567567568,0.6741304347826085,0.9933444259567388,0.9898658903391372,1.0,0.9880239520958084,0.9399667221297836,0.9095481387455504,0.9780184331797236,0.8410778443113773,magneto,ranger,0.001,100.0,0.0,5.0,shuffle,100.0,2022-11-13 02:58:57.956263,04:10:35.47,04:10:35.47,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,other,other,20,125,15,75,58.75
3727dd4e99be4a829c8b4a2062da7cdb,,0.2,0.9490445859872612,0.9339992166079124,1.0,0.9565217391304348,0.889108280254777,0.8437318840579711,0.9533333333333333,0.7341304347826088,0.9816971713810316,0.978117497723447,1.0,0.9700598802395208,0.9417138103161398,0.9131154971163664,0.9774884792626728,0.8487425149700597,magneto,radam,0.001,100.0,0.0,5.0,shuffle,100.0,2022-11-13 02:59:02.886748,04:10:40.40,04:10:40.40,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,other,other,15,48,10,38,27.75
c14f8aa402f646f784d13b0f691d898a,,0.2,0.9490445859872612,0.9385037211124168,1.0,0.9347826086956522,0.908407643312102,0.8648276537406971,0.9700900900900904,0.7595652173913042,0.9717138103161398,0.959691216645051,0.9907834101382488,0.940119760479042,0.9444758735440932,0.9201669472115678,0.9748847926267282,0.8654491017964071,solid,adam,0.01,100.0,0.0,5.0,resnet,100.0,2022-11-16 01:56:41.133253,01:16:41.94,01:16:41.94,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,other,other,8,7,5,4,6.0
