model_id;model_name;k_fold;frac_val;best_acc;best_auc;best_sp;best_sn;avg_acc;avg_auc;avg_sp;avg_sn;host_name;optim;lr;multi;double_img;backbone;feature_extract;model_id.1;model_name.1;k_fold.1;frac_val.1;best_acc.1;best_auc.1;best_sp.1;best_sn.1;avg_acc.1;avg_auc.1;avg_sp.1;avg_sn.1;host_name.1;optim.1;lr.1;multi.1;double_img.1;backbone.1;feature_extract.1
82224638a37246e2ac58cac0f65bee32;shuffle_single_intput_k_fold;5.0;;0.7631578947368421;0.5;1.0;1.0;0.7181889159986057;0.5;0.998;0.002;loki;sgd;0.0001;0.0;0.0;shuffle;False;;;;;;;;;;;;;;;;;;;
de69a3e889774d0bacd5c9e050f93b67;shuffle_single_intput_k_fold;5.0;;0.7763157894736842;0.6545764881587369;1.0;1.0;0.7058970024398745;0.521953416473178;0.9404901900203118;0.1034166429260442;loki;radam;0.0001;0.0;0.0;shuffle;False;;;;;;;;;;;;;;;;;;;
94c5f3f50c694b8cb17a86ec1d0155a9;shuffle_single_intput_k_fold;5.0;;0.7697368421052632;0.627124044180119;1.0;1.0;0.7093747821540606;0.509374482955532;0.9646384920482398;0.0541104738628241;loki;ranger;0.0001;0.0;0.0;shuffle;False;;;;;;;;;;;;;;;;;;;
68bcdb19d9b246569351b35c959af81f;regnet_single_intput_k_fold;5.0;;0.8947368421052632;0.8603440951571792;1.0;0.9534883720930232;0.7941269606134542;0.7367900947480923;0.8680109468470311;0.6055692426491536;loki;adam;0.001;0.0;0.0;regnet;False;;;;;;;;;;;;;;;;;;;
509cd7bb04874d15bd032a63039f6c65;regnet_single_intput_k_fold;5.0;;0.8741721854304636;0.8282710280373832;1.0;0.7777777777777778;0.8007614151272221;0.7139561277479202;0.9138681704094496;0.5140440850863909;loki;sgd;0.001;0.0;0.0;regnet;False;;;;;;;;;;;;;;;;;;;
72c2965d5bb847478009db9bb2b2166c;vit_single_intput_k_fold;5.0;;0.8940397350993378;0.8583262531860663;1.0;0.8863636363636364;0.7917656849076334;0.7088682022073087;0.8994193221621074;0.5183170822525103;magneto;adam;0.0001;0.0;0.0;vit;False;;;;;;;;;;;;;;;;;;;
b8a99dde9c374343a80d5b7f50cb17a4;vit_single_intput_k_fold;5.0;;0.894736842105263;0.8702794964796245;1.0;0.8863636363636364;0.7957248170094109;0.7216495234762312;0.8903559294838628;0.5529431174685999;magneto;sgd;0.0001;0.0;0.0;vit;False;;;;;;;;;;;;;;;;;;;
c7b8064bf06545979e7e09e72015da15;vit_single_intput_k_fold;5.0;;0.881578947368421;0.8463254035683941;1.0;0.8611111111111112;0.8044846636458697;0.7329814732502484;0.8968222170886143;0.5691407294118824;magneto;ranger;0.0001;0.0;0.0;vit;False;;;;;;;;;;;;;;;;;;;
ef35ee9c9224437caab7816e416c3a2b;vit_single_intput_k_fold;5.0;;0.888157894736842;0.853016142735769;1.0;0.9069767441860463;0.806743900313698;0.7380473438652744;0.8950788764759943;0.5810158112545545;magneto;radam;0.0001;0.0;0.0;vit;False;;;;;;;;;;;;;;;;;;;
f5deadcee00f43098249f2ff9578e385;vit_single_intput_k_fold;5.0;;0.888157894736842;0.8430765948367825;1.0;1.0;0.7932693447194145;0.7182707316400739;0.8882809161962459;0.5482605470839019;magneto;sgd;0.001;0.0;0.0;vit;False;;;;;;;;;;;;;;;;;;;
7549835086004381ae6ded09797e7a8d;vit_single_intput_k_fold;5.0;;0.763157894736842;0.5943033923618519;1.0;1.0;0.7098861972812827;0.5014582357843268;0.9778230059875582;0.0250934655810954;magneto;adam;0.001;0.0;0.0;vit;False;;;;;;;;;;;;;;;;;;;
b2c150f54cca4d119b506613d35346b3;vit_single_intput_k_fold;5.0;;0.875;0.8249787595581989;1.0;0.9787234042553192;0.7754335134193098;0.6804366667078996;0.8999450350936365;0.4609282983221627;magneto;ranger;0.001;0.0;0.0;vit;False;;;;;;;;;;;;;;;;;;;
719508d724124204844bf9a70b59dc3c;vit_single_intput_k_fold;5.0;;0.8486842105263157;0.7935429056924385;1.0;0.9444444444444444;0.7316625130707562;0.5689506494355933;0.9410473136953312;0.1968539851758555;magneto;radam;0.001;0.0;0.0;vit;False;;;;;;;;;;;;;;;;;;;
059a442bcb5548208ab041f798671510;regnet_single_intput_k_fold;5.0;;0.8741721854304636;0.8329439252336448;1.0;0.8333333333333334;0.7976624259323807;0.7300569777366759;0.8855678686776359;0.5745460867957157;loki;ranger;0.001;0.0;0.0;regnet;False;;;;;;;;;;;;;;;;;;;
ea70e4db9e094da4be87a0321f59ebbe;regnet_single_intput_k_fold;5.0;;0.8807947019867549;0.8556711979609176;1.0;0.9361702127659575;0.7910852213314744;0.7295219314697472;0.8716676765331249;0.5873761864063695;loki;radam;0.001;0.0;0.0;regnet;False;;;;;;;;;;;;;;;;;;;
